address,holders.holders,holders.holdersCount,liquidity.eth_liquidity,scam
0xA5530dee446A50a35170C4BaE2D2494B2B3de328,"[{""address"":""0xC28AB865B8ab3c0C2c60339fE994e73ca7BFA832"",""balance"":900127650496105700000,""share"":90.01},{""address"":""0xA5530dee446A50a35170C4BaE2D2494B2B3de328"",""balance"":48327087854406880000,""share"":4.83},{""address"":""0x99bC2C310d9998cD3eF2C518989A6E5E1A4F4284"",""balance"":18999999999050000000,""share"":1.9},{""address"":""0x0dA7827dCAacf7BAA921f5988686D28b3EB5A009"",""balance"":17209675754007431000,""share"":1.72},{""address"":""0x527cfb759D6ea005B541c2351fD15eCBf038CC60"",""balance"":15335585896430051000,""share"":1.53},{""address"":""0x3a173dC344683B2CcDeAE21b26e2CCE20DD435a2"",""balance"":21738,""share"":0}]",6,4.7E-17,1
0x85646C68eAEeED948Bd05fBceF6aB318D713beCb,"[{""address"":""0xD7713e9D8abf806A49ef8255F446Fcc0103125B7"",""balance"":1.092444782507682e+29,""share"":54.62},{""address"":""0xedca5D37d33A69b69DFf9CcFAdc4aa20dC42949d"",""balance"":8.432264114788327e+28,""share"":42.16},{""address"":""0x7f13440F93D2B49e0E06FE04fA7Ed7CF55c4c1Ae"",""balance"":6.432880601348517e+27,""share"":3.22},{""address"":""0x9C26AD949d3cE16E2910D179e41bDF8DeF7BD278"",""balance"":199452217,""share"":0}]",4,1E-18,1
0xc4ED182fadc8A3641E63d4491f7C1C45a49C8aD3,"[{""address"":""0x173e4E553Ec26C93a39f0651d44404aB2849EEad"",""balance"":4.153543447718387e+22,""share"":83.07},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":7.04047134911098e+21,""share"":14.08},{""address"":""0x68dB21C10faAfBA2cDb91CDD78d96fBBAe428dB1"",""balance"":699186000001000000000,""share"":1.4},{""address"":""0xA10E3AF40d3A4EBcb7406CBf3EB16C1a0acb1888"",""balance"":499999999999000000000,""share"":1},{""address"":""0x750474CA754f6845E88376E275DcE48C758615ab"",""balance"":224908173705153480000,""share"":0.45},{""address"":""0xe1EF9b7e034b3bDf9Bf18aD8ef44984cF95D3bdc"",""balance"":151666,""share"":0}]",6,7E-18,1
0x206FA08DEdE1bafF3Ce5dE4ecbf96ddD9e214f01,"[{""address"":""0xa61662E419D6c71c7f1fE3187B9d9D697Ed87035"",""balance"":1.8737692382393184e+22,""share"":62.46},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":3.0113006263532997e+21,""share"":10.04},{""address"":""0x0a4ea8C703d30d6c7Ad25F6849c130824597CAaD"",""balance"":2.6861338730478227e+21,""share"":8.95},{""address"":""0xd619de66921e17952113f1b280a0C14688950273"",""balance"":2.498527672782954e+21,""share"":8.33},{""address"":""0x9775eFe31537964422cf084D4403785A810f3Ef4"",""balance"":1.434271701202236e+21,""share"":4.78},{""address"":""0x9F13675Cebb6e34f45dF19c025e3c24E7F8cac3A"",""balance"":1.285059242193895e+21,""share"":4.28},{""address"":""0x750474CA754f6845E88376E275DcE48C758615ab"",""balance"":194385486599655950000,""share"":0.65},{""address"":""0x6fFbcA4259dFceC4B72BEd5008704468208e7635"",""balance"":152629005426951230000,""share"":0.51},{""address"":""0x2cE21E39233cB2B5Ef8Ea78c7a1Efa882A7D595A"",""balance"":10000000000000,""share"":0},{""address"":""0xC7416ACfD4104CCd2d7708dea5c1056a6D499c4c"",""balance"":88331,""share"":0}]",11,1.2E-17,1
0xe55ff522369b38E1843F3e7CC9b1dFcbd796bf29,"[{""address"":""0x7d2feeED3c510a752bF08537EC0A8A383765363D"",""balance"":6.093400209857277e+21,""share"":60.93},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":1.4767390079683729e+21,""share"":14.77},{""address"":""0x488F39c078A509B30353D563D4b098168bA59759"",""balance"":1.1174919461643308e+21,""share"":11.17},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":560879320221815000000,""share"":5.61},{""address"":""0x4598B26b27D142A957406A4DbB0BB278C15Fc897"",""balance"":494939893124841400000,""share"":4.95},{""address"":""0x6Ea46d969F9c9bA6EcAE215044fB81aD527C6CD4"",""balance"":256549592663363130000,""share"":2.57},{""address"":""0x2cE21E39233cB2B5Ef8Ea78c7a1Efa882A7D595A"",""balance"":30000000000000,""share"":0},{""address"":""0xAc33d889D566228985fd48f7308DdB0505120a10"",""balance"":49753,""share"":0}]",8,2.1E-17,1
0xe3937F4194A769d11745De771b63715cd0cFC5FE,"[{""address"":""0x2f9F104c2bDf524D36D353ed7593b2cA0747f000"",""balance"":83183362613041950000,""share"":83.18},{""address"":""0x1851127D33910d7541086b1bB8634EE0e00A9c06"",""balance"":5512613986882333000,""share"":5.51},{""address"":""0xe3937F4194A769d11745De771b63715cd0cFC5FE"",""balance"":4494762002307572000,""share"":4.49},{""address"":""0x67F800Af89484FB207bF7af891B334ea28a2C204"",""balance"":1899999998100000000,""share"":1.9},{""address"":""0x260a18c6133892E9425bD68c216B701693a6fA0F"",""balance"":1392889999050000100,""share"":1.39},{""address"":""0x9f3202F8bF6f6d4658fD160b41FFaB3198A2f67D"",""balance"":1198421825833549000,""share"":1.2},{""address"":""0x57b0e2F10040715f35Cff614Bc8C50f96a42a7ae"",""balance"":802958540634573400,""share"":0.8},{""address"":""0x4458c069feCD26ce1E35d452b1fF50c1cAAE6D3B"",""balance"":649130177469653000,""share"":0.65},{""address"":""0x9B7E582eA9b6519F19d8a5f3F3F7d3D0E7EfBfB8"",""balance"":228241152116895970,""share"":0.23},{""address"":""0x5F7AC769e181cA1472b28b8Ac1100194e7D4E0b1"",""balance"":227902362353967460,""share"":0.23}]",18,1.6E-16,1
0x9eabF0135B78b7af99c4A8a6F436991ca279DaF9,"[{""address"":""0xA3dEaDF16266Be80C5aFB32bE9e24D81b927FcF5"",""balance"":1e+45,""share"":100},{""address"":""0x000000000000000000000000000000000000dEaD"",""balance"":9.900000030812478e+26,""share"":0},{""address"":""0x24230d594ef0Ea19fE91a29e5E4f9660AFA6c8Af"",""balance"":1.0000840058469913e+25,""share"":0},{""address"":""0x844e6D9C6F55F568d6E042f0CD34574eeb8b66d3"",""balance"":37860651754265680000,""share"":0},{""address"":""0x68dB21C10faAfBA2cDb91CDD78d96fBBAe428dB1"",""balance"":26948100001000000000,""share"":0},{""address"":""0xfBc746ddbE54Bb52d09A30f3D6ebBeFdE5362Cf8"",""balance"":25531825523424630000,""share"":0},{""address"":""0xd64F5ff9980577f81b3727cfCd84AcEE313EE664"",""balance"":14684791670903597000,""share"":0},{""address"":""0x521DC6dF58063a08CCb2161eb2A83EC6EfE66ecb"",""balance"":12621922690895727000,""share"":0},{""address"":""0x687370ED906a146F27b57b67d629CEc0dD3bF6B5"",""balance"":12142945307822653000,""share"":0},{""address"":""0xB14Ea12CEf942662564c456A72164778977B6cbe"",""balance"":9348347400000000000,""share"":0}]",14,0.00018065912077792,1
0x21CA33520bd1D3682f27296c55e93DEf8FeeF26C,"[{""address"":""0xd2bAf2B0c1FBA0CCA75F5e92834C2167819Cf081"",""balance"":817008127263139500,""share"":81.7},{""address"":""0x3BaFfd17565f171755e872b794e9EC5e70371Dbb"",""balance"":32756207632859576,""share"":3.28},{""address"":""0xAC776933b61e242810FD4Bd709d520a126478ea4"",""balance"":29543484227295524,""share"":2.95},{""address"":""0x5668682c666E7D5eD0f7E8443d4F3Fe28C4F446B"",""balance"":24793367062983790,""share"":2.48},{""address"":""0x5d681bbcBec0b63C2D18B448ECaad1FBFf18F191"",""balance"":23407086561649830,""share"":2.34},{""address"":""0x9f93bB26b6F56e4ADb6843Bef17DD15628738327"",""balance"":20410629372085080,""share"":2.04},{""address"":""0x456e501b3FBE6F61FD0d95bBF304301d81ebE36a"",""balance"":17772876957411408,""share"":1.78},{""address"":""0x826C256b444AaD89cE9f54FDF3028B1cA54D9C97"",""balance"":14303866371734756,""share"":1.43},{""address"":""0xf7d499d603471Ed8f5ee7628466210dE15AFf1cA"",""balance"":13865287670000000,""share"":1.39},{""address"":""0x9B7E582eA9b6519F19d8a5f3F3F7d3D0E7EfBfB8"",""balance"":3954684193238812,""share"":0.4}]",12,0.000002121824673729,1
0x3c6847A0d2cc446c7a1Ba1B8595f6C72D1d93cbD,"[{""address"":""0x55A3D9586E320855fe25C365aA8342689f22D74F"",""balance"":894063889232786200000,""share"":89.41},{""address"":""0x2a8d0727fcdc697287eB4b3364AdCF14cED7d8D3"",""balance"":16192417130453926000,""share"":1.62},{""address"":""0xA10E3AF40d3A4EBcb7406CBf3EB16C1a0acb1888"",""balance"":9199999999080000000,""share"":0.92},{""address"":""0x3c6847A0d2cc446c7a1Ba1B8595f6C72D1d93cbD"",""balance"":2799006625857703400,""share"":0.28},{""address"":""0xf7d499d603471Ed8f5ee7628466210dE15AFf1cA"",""balance"":991120000357,""share"":0},{""address"":""0x8D9bAC80b4d9C458988C7Fb40357ed616390278c"",""balance"":459769504,""share"":0},{""address"":""0xF264Bc41E63b47b71FDffACFae922bb0bdCdb40b"",""balance"":32040,""share"":0}]",7,3.2E-17,1
0xca477C7288E1bfe82Cd0a474e7f2adA24B3C64b5,"[{""address"":""0xE8ec4003d4Bb2f829ed6b5197d1eC3Bce98badE3"",""balance"":2.571272385600646e+22,""share"":51.43},{""address"":""0xa61662E419D6c71c7f1fE3187B9d9D697Ed87035"",""balance"":5.734594942041606e+21,""share"":11.47},{""address"":""0x7d2feeED3c510a752bF08537EC0A8A383765363D"",""balance"":4.974476061227446e+21,""share"":9.95},{""address"":""0xD69ee057d68f3103A26839F77313f30CBEbC14C4"",""balance"":3.7127762963051646e+21,""share"":7.43},{""address"":""0x6Ea46d969F9c9bA6EcAE215044fB81aD527C6CD4"",""balance"":3.0560151357166594e+21,""share"":6.11},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":1.3904907774001417e+21,""share"":2.78},{""address"":""0x2e763881dAec40d340C28e6107EDbef163E74d8f"",""balance"":1.1110343291006977e+21,""share"":2.22},{""address"":""0x9F13675Cebb6e34f45dF19c025e3c24E7F8cac3A"",""balance"":1.1049773352695329e+21,""share"":2.21},{""address"":""0xC14C43fB61794E803916E3C66fc963F77d7aC095"",""balance"":995000000000000000000,""share"":1.99},{""address"":""0x8586c0Ac55dF1872319784dd2149E3e6b2f2DB52"",""balance"":794597307181642400000,""share"":1.59}]",16,1.1E-17,1
